date,serial_number,model,failure,smart_9_raw,smart_12_raw,smart_170_raw,smart_173_raw,smart_174_raw,smart_177_raw,smart_194_raw,smart_233_raw,smart_241_raw,smart_242_raw,label,smart_9_raw_delta7,smart_9_raw_delta30,smart_9_raw_accel,smart_9_raw_roll30,smart_12_raw_delta7,smart_12_raw_delta30,smart_12_raw_accel,smart_12_raw_roll30,smart_173_raw_delta7,smart_173_raw_delta30,smart_173_raw_accel,smart_173_raw_roll30,smart_174_raw_delta7,smart_174_raw_delta30,smart_174_raw_accel,smart_174_raw_roll30,smart_194_raw_delta7,smart_194_raw_delta30,smart_194_raw_accel,smart_194_raw_roll30,smart_170_raw_delta7,smart_170_raw_delta30,smart_170_raw_accel,smart_170_raw_roll30,smart_177_raw_delta7,smart_177_raw_delta30,smart_177_raw_accel,smart_177_raw_roll30,smart_233_raw_delta7,smart_233_raw_delta30,smart_233_raw_accel,smart_233_raw_roll30,smart_241_raw_delta7,smart_241_raw_delta30,smart_241_raw_accel,smart_241_raw_roll30,smart_242_raw_delta7,smart_242_raw_delta30,smart_242_raw_accel,smart_242_raw_roll30,drive_age_days,power_loss_rate,wear_per_hour,temp_roll7,days_in_dataset
2023-01-31,2128E5B74393,CT250MX500SSD1,0,4743.0,3.0,0.0,1279.0,0.0,0.0,40.0,0.0,0.0,0.0,0,69.0,297.0,7.0,4601.633333333333,0.0,0.0,0.0,3.0,20.0,104.0,0.0,1230.7333333333331,0.0,0.0,0.0,0.0,0.0,5.0,-3.0,37.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.2696037099494098,41.285714285714285,30
2023-02-01,2128E5B74393,CT250MX500SSD1,0,4757.0,3.0,0.0,1283.0,0.0,0.0,44.0,0.0,0.0,0.0,0,71.0,298.0,4.0,4611.566666666667,0.0,0.0,0.0,3.0,19.0,105.0,-3.0,1234.2333333333331,0.0,0.0,0.0,0.0,4.0,4.0,-1.0,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.269651113913409,41.85714285714285,31
2023-02-02,2128E5B74393,CT250MX500SSD1,0,4763.0,3.0,0.0,1285.0,0.0,0.0,40.0,0.0,0.0,0.0,0,70.0,291.0,10.0,4621.266666666666,0.0,0.0,0.0,3.0,20.0,103.0,2.0,1237.6666666666667,0.0,0.0,0.0,0.0,-2.0,5.0,-7.0,38.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0.0,0.2697313182199832,41.57142857142857,32
2023-02-03,2128E5B74393,CT250MX500SSD1,0,4777.0,3.0,0.0,1289.0,0.0,0.0,42.0,0.0,0.0,0.0,0,72.0,298.0,7.0,4631.2,0.0,0.0,0.0,3.0,20.0,104.0,0.0,1241.1333333333334,0.0,0.0,0.0,0.0,2.0,7.0,-1.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0.0,0.2697781498534952,41.85714285714285,33
2023-02-04,2128E5B74393,CT250MX500SSD1,0,4783.0,3.0,0.0,1290.0,0.0,0.0,42.0,0.0,0.0,0.0,0,71.0,298.0,11.0,4641.133333333333,0.0,0.0,0.0,3.0,20.0,104.0,2.0,1244.6,0.0,0.0,0.0,0.0,2.0,5.0,6.0,38.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0.0,0.2696488294314381,42.142857142857146,34
2023-02-05,2128E5B74393,CT250MX500SSD1,0,4797.0,3.0,0.0,1294.0,0.0,0.0,44.0,0.0,0.0,0.0,0,72.0,299.0,5.0,4651.1,0.0,0.0,0.0,3.0,20.0,103.0,0.0,1248.0333333333333,0.0,0.0,0.0,0.0,4.0,9.0,6.0,38.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.2696957065443935,42.71428571428572,35
2023-02-06,2128E5B74393,CT250MX500SSD1,0,4803.0,3.0,0.0,1295.0,0.0,0.0,44.0,0.0,0.0,0.0,0,72.0,299.0,10.0,4661.066666666667,0.0,0.0,0.0,3.0,19.0,102.0,1.0,1251.4333333333334,0.0,0.0,0.0,0.0,-3.0,9.0,-6.0,39.266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0.0,0.2695670274771024,42.285714285714285,36
2023-02-07,2128E5B74393,CT250MX500SSD1,0,4816.0,3.0,0.0,1299.0,0.0,0.0,44.0,0.0,0.0,0.0,0,73.0,299.0,4.0,4671.033333333334,0.0,0.0,0.0,3.0,20.0,102.0,0.0,1254.8333333333333,0.0,0.0,0.0,0.0,4.0,9.0,4.0,39.56666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.2696699190367448,42.85714285714285,37
2023-02-08,2128E5B74393,CT250MX500SSD1,0,4822.0,3.0,0.0,1300.0,0.0,0.0,40.0,0.0,0.0,0.0,0,65.0,298.0,-6.0,4680.966666666666,0.0,0.0,0.0,3.0,17.0,101.0,-2.0,1258.2,0.0,0.0,0.0,0.0,-4.0,5.0,-8.0,39.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0.0,0.2695417789757412,42.285714285714285,38
2023-02-09,2128E5B74393,CT250MX500SSD1,0,4834.0,3.0,0.0,1305.0,0.0,0.0,47.0,0.0,0.0,0.0,0,71.0,297.0,1.0,4690.866666666667,0.0,0.0,0.0,3.0,20.0,103.0,0.0,1261.6333333333334,0.0,0.0,0.0,0.0,7.0,12.0,9.0,40.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,0.2699069286452947,43.285714285714285,39
